CD Number,Title,Description (Summary),Notes,Links,Terms of Use,Data creator,Date of collection,Date of creation,Geography,Subjects,Year of creation (start),Year of creation (end),Cartographer,Copyright Holder,Date edited,Data Type,Datum,Edition,Formal Metadata,Place of publication,Projection,Publisher,Require acknowledgement to use,Require Permission to Use,Scale,Temporal extent
442,Digitaler Atlas Hintergrundwerte,"Natural chemical contents from sediments, soils, rock and ground water in Lower Saxony (Niedersachsen) and Bremen. This resource is in German.",,,"Restricted to U of T faculty, staff, and students.",Unknown,,1999,GERMANY,SOILS,1999,,,,2013,Vector,,,,,,Niedersaechsisches Landesamt fuer Bodenforschung,None,None,,
443,Ni-Cu-PGE mineralizations in Quebec,"Ni-Cu-PGE mineralizations in Quebec, MRN, 2003.",,,"Restricted to U of T faculty, staff, and students.",Ressources naturelles Quebec,,2003 Jun 1st,QUEBEC,MINERAL RESOURCES,2003,,Ressources naturelles Quebec,,2013 Apr 4th,Vector,,,,,,Ressources naturelles Quebec,None,None,1: 2500000,2003 to 2013
444,City of Mississauga Datasets - 2013 - April,,,,"Restricted to U of T faculty, staff, and students.",City of Mississauga,,2013 Jan,MISSISSAUGA,ADDRESSES; BUILDING OUTLINES; BUILDINGS; BUILDINGS - FOOTPRINTS; CONTOURS; CULTURAL; DIGITAL ELEVATION MODEL; DIGITAL TERRAIN MODEL; ELEVATION; LAND USE; LANDMARKS; OFFICIAL PLAN; PARKING; PLANIMETRIC; POINTS OF INTEREST; RECREATION; ROADS; SIDEWALKS; TRIANGULATED SURFACES; UTILITIES; ZONING,,,,City of Mississauga,,EXCEL SPREADSHEET,,,,,,City of Mississauga,Citation,None,,2013
445,SpatiaLabs,"Designed for a broad range of disciplines, SpatiaLABS complements and enhances an instructor's course with self-directed investigations that help students increase their spatial reasoning and analytical skills. Created by educators and peer reviewed, SpatiaLABS provides students in the physical, social, and applied sciences with 64 lessons on topics including environmental studies, business, urban studies, and spatial statistics. Students develop GIS and cartography skills during these investigations; however, the primary objective of SpatiaLABS is to teach students how to approach and solve geospatial problems. Although each activity has been written with skill prerequisites in mind‚ from no GIS ability to advanced GIS project experience‚ SpatiaLABS exercises are customizable, allowing educators to adapt them to student capabilities or use local data, when appropriate.",,,"Restricted to U of T faculty, staff, and students.",ESRI,,2013,,BUSINESS; CARTOGRAPHY; EDUCATION; ENVIRONMENT; GEOGRAPHIC INFORMATION SYSTEMS; SPATIAL STATISTICS; URBAN STUDIES,,,,ESRI,,Raster; Vector,,,,Redlands California,,ESRI Press,None,None,,2013
446,ESRI Streetmap for Arclogistics,"from website http://www.esri.com/data/streetmap StreetMap Premium for ArcGIS provides an enriched street dataset that works with Esri's ArcGIS software to provide you with a high-quality cartographic display for geocoding, routing, and turn-by-turn directions for North America, Europe, Australia, and New Zealand. Based on commercial street datasets from NAVTEQ and TomTom, StreetMap Premium provides you with a ready-to-use solution that works with either ArcGIS for Server or ArcGIS for Desktop, and helps you achieve optimal geocoding match rates and generates the best possible routes and driving directions. StreetMap Premium for ArcGIS provides you with an out-of-the-box, on-premise solution that your users can rapidly deploy, and does not require data preparation or expose your internal infrastructure.

",Disc 1 of 3,,"Restricted to U of T faculty, staff, and students.",TomTom,,2013,NORTH AMERICA (ENTITY),GEOCODING; ROADS; STREETS,,,,ESRI / TomTom,,Vector,,2013 Release 1,,USA,,ESRI,Citation,None,,2013
447,ESRI Streetmap for Arclogistics,"from website http://www.esri.com/data/streetmap StreetMap Premium for ArcGIS provides an enriched street dataset that works with Esri's ArcGIS software to provide you with a high-quality cartographic display for geocoding, routing, and turn-by-turn directions for North America, Europe, Australia, and New Zealand. Based on commercial street datasets from NAVTEQ and TomTom, StreetMap Premium provides you with a ready-to-use solution that works with either ArcGIS for Server or ArcGIS for Desktop, and helps you achieve optimal geocoding match rates and generates the best possible routes and driving directions. StreetMap Premium for ArcGIS provides you with an out-of-the-box, on-premise solution that your users can rapidly deploy, and does not require data preparation or expose your internal infrastructure.",Disc 3 of 3,,"Restricted to U of T faculty, staff, and students.",TomTom,,2013,NORTH AMERICA (ENTITY),GEOCODING; ROADS; STREETS,,,,ESRI / TomTom,,Vector,,2013 Release 1,,USA,,ESRI,Citation,None,,2013
448,ESRI Streetmap for Arclogistics,"from website http://www.esri.com/data/streetmap StreetMap Premium for ArcGIS provides an enriched street dataset that works with Esri's ArcGIS software to provide you with a high-quality cartographic display for geocoding, routing, and turn-by-turn directions for North America, Europe, Australia, and New Zealand. Based on commercial street datasets from NAVTEQ and TomTom, StreetMap Premium provides you with a ready-to-use solution that works with either ArcGIS for Server or ArcGIS for Desktop, and helps you achieve optimal geocoding match rates and generates the best possible routes and driving directions. StreetMap Premium for ArcGIS provides you with an out-of-the-box, on-premise solution that your users can rapidly deploy, and does not require data preparation or expose your internal infrastructure.",Disc 2 of 3,,"Restricted to U of T faculty, staff, and students.",TomTom,,2013,NORTH AMERICA (ENTITY),GEOCODING; ROADS; STREETS,,,,ESRI / TomTom,,Vector,,2013 Release 1,,USA,,ESRI,Citation,None,,2013
449,Maps of India CD,"Digital interactive atlas of contains many thematic layers at the national, state and district levels that can be viewed, queried and printed. Includes maps under the following thematic headings:
-India & Neighbours
-States & Districts
-Cities
-History
-Geography
-Demography
-Polity
-Economy
-Resources
-Transportation & Communication
-Tourism
-Emerging India",,,"Restricted to U of T faculty, staff, and students.",Unknown,,,INDIA,ADMINISTRATIVE BOUNDARIES; AGRICULTURE; AIRPORTS; ARCHAEOLOGY; ATLAS; BOUNDARIES; BOUNDARIES - POLITICAL; BUSINESS; CLIMATE; CULTURAL; ECOLOGY; ELECTRICITY; ENVIRONMENT; ETHNOLOGY; FINANCIAL INSTITUTIONS; FLORA; FORESTRY; HIGHWAYS; HISTORICAL; HYDRO-ELECTRIC; HYDROGRAPHY; INDUSTRY; LAND COVER; LANDMARKS; LANGUAGE; MINERAL RESOURCES; MINERALS; MINING; MUSEUMS; PLACES OF WORSHIP; POLITICAL; POPULATION; RAILROADS; RIVERS; ROADS; SOILS; THEMATIC MAPPING; TOURISM; TRADE; TRAIN; VEGETATION; WILDLIFE,,,,MapXL,,Raster,,6.0,,New Delhi,,MapXL,Citation,None,,2007
453,London (Ont) Shapefile topos and Orthophotos. - 2013,"Digital Mapping CD DWG/Shape files

Double & single line street map of city of London,

parcel/property map shapeformat,

orthoimagery city of London 2005-2010

1:2000 topographic mapping.",,,"Restricted to U of T faculty, staff, and students.","City of London, Ont.",,2005,LONDON (ONTARIO),AIR PHOTOS - COLOUR - ORTHORECTIFIED; BOUNDARIES; BUILDING OUTLINES; CONTOURS; DIGITAL IMAGE PROCESSING; PARCELS; PROPERTY BOUNDARIES; ROADS; STREETS; TOPOGRAPHY,,,,,,Raster; Vector,,2005-2012,,"London, Ont.",,,Citation,None,,2005 to 2012
458,Atlas map České republiky GEOČR 500,,,,,Unknown,,,,,,,,,,,,,,,,,,,,
462,Forest Resource Inventory (FRI),"This Information Holding is used within the context of the following Great Lakes Heritage Coast subject area: Terrestrial Flora Part of Ontario's Living Legacy, The Great Lakes Heritage Coast Project is an open forum for citizens to help determine the best ways to...

Protect the Coast's scenic beauty and natural ecosystems;
Promote the potential for recreation, tourism, and other economic benefits through a network of parks and protected areas and bring the world to this magnificent part of Ontario;
Encourage development compatible with the overall intent for the area; and
Foster co-operation, education, public information and partnerships with other levels of government, Aboriginal communities, and interest groups in the planning and management of the Heritage Coast.",,,"Restricted to U of T faculty, staff, and students.",Ontario Ministry of Natural Resources (OMNR),,1988,ONTARIO,FORESTRY,,,,OMNR,,Vector,,,,,,Ontario Ministry of Natural Resources (OMNR),Citation,None,,1989 to 2001
463,The changing faces of the Arctic: a glance at the top of the world from magnetic and gravity view,"
Thumbnail for The changing faces of the Arctic: a glance at the top of the world from magnetic and gravity view
Arctic magnetic/gravity atlas on CD-ROM, containing text and JPG maps illustrating world from an Arctic polar perspective.

",,,Publicly accessible,Unknown,,2012,WORLD (ENTITY),GRAVITY; MAGNETISM,,,,Commission for the Geological Map of the World,,Raster,,,,Paris,,Commission for the Geological Map of the World,Citation,None,,
464,Beijing GIS Maps with Census Data,"DVD of geospatial datasets containing 2000 census data for Beijing at the province, county, and township levels; as well as select variables at county level for 1953, 1964, 1982 and 1990. Each .zip archive contains accompanying metadata, including a list of variables and projection parameters.",,,"Restricted to U of T faculty, staff, and students.","All China Marketing Research Co., Ltd.",,2008,BEIJING; CHINA,CENSUS; CHINA; POPULATION,2008,,"All China Marketing Research Co., Ltd.","All China Marketing Research Co., Ltd.",,SHAPEFILE,varies,,,"Ann Arbor, MI",varies,China Data Center,Citation,None,,1953 to 2000
465,China 2000-2010 City Population Census Data with GIS Maps,"DVD of geospatial and tabular datasets containing harmonized 2000-2010 census data at the city (prefecture) level, as well as administrative boundaries, hydrography, railways, and roads. Consult metadata for list of variables and projection parameters.",,,"Restricted to U of T faculty, staff, and students.","All China Marketing Research Co., Ltd.",,2013,CHINA,CENSUS; CHINA; POPULATION,2013,,"All China Marketing Research Co., Ltd.","All China Marketing Research Co., Ltd.",,EXCEL SPREADSHEET,varies,,,"Ann Arbor, MI",varies,China Data Center,Citation,None,,2000 to 2010
466,China 2010 Township Population Census Data with GIS Maps,"DVD of geospatial datasets containing 2010 census data at the township level, as well as administrative boundaries, hydrography, railways, and roads. Consult metadata for list of variables and projection parameters.",,,"Restricted to U of T faculty, staff, and students.","All China Marketing Research Co., Ltd.",,2013,CHINA,CENSUS; CHINA; POPULATION,2013,,"All China Marketing Research Co., Ltd.","All China Marketing Research Co., Ltd.",,EXCEL SPREADSHEET,varies,,,"Ann Arbor, MI",varies,China Data Center,Citation,None,,2010
467,Teranet - Ontario Parcel Data,"To request access, if you are a current U of T student, staff, or faculty, please contact us.

Contains:
1) Basic property report correlating the ownership PIN to the assessment roll number.2)Digital property ownership parcel polygons, attributed with the 9-digit PIN, comprising the area of the regions in shapefile format.",,https://utoronto.sharepoint.com/sites/UTL-MDL-LicensedDataAndSoftware/Teranet,"Restricted to U of T faculty, staff, and students.",Teranet,,2014 Jun 9th,ONTARIO,LAND USE; PARCELS; PROPERTY BOUNDARIES,,,,Teranet,,Vector,,2014,,Toronto,,Teranet,Citation,None,,2014
468,Toronto Region Conservation Authority Data,"Geodatabase contains 1 metre contours, vegetation polygons, flora and fauna, municipal boundaries, natural groundcover, TRCA properties, water bodies, watercourses, and watersheds.",Data now available at https://utoronto.sharepoint.com/sites/UTL-MDL-LicensedDataAndSoftware/TRCA,https://utoronto.sharepoint.com/sites/UTL-MDL-LicensedDataAndSoftware/TRCA,"Restricted to U of T faculty, staff, and students.",Toronto Region Conservation Authority,,2014,TORONTO,CONSERVATION; CONSERVATION AUTHORITY; ELEVATION; FAUNA; FLORA; LAKES; MUNICIPALITIES; RIVERS; VEGETATION; WATER; WATERSHEDS; WETLANDS,2014,,Toronto Region Conservation Authority,Toronto Region Conservation Authority,,Vector,NAD83,2014,,"Toronto, ON",UTM Zone 17N,Toronto Region Conservation Authority,Citation,None,,2014
469,Macau GeoGuide,"Interactive maps of Macau, showing roads, building outlines, parks, and points of interest. Application includes searching and routing capabilities. Accompanies Atlas of Macau, 2011 (linked below).",Paired with 2011 Atlas de Macau/Atlas of Macao (MMS ID: https://librarysearch.library.utoronto.ca/permalink/01UTORONTO_INST/10o42ki/alma991106058063206196),,Publicly accessible,"Ao Ka Kun, Lai Chek Sam, Cheong Sai Meng, Tam Chong Pak, Lam Ka Fai, Loi lat Kei, Cheang Kueng Chon",,2011 Aug,MACAU,BUILDING OUTLINES; CITY PLAN; POINTS OF INTEREST,,,,"Direccão dos Servicíos de Cartografia e Cadastro, Macau S.A.R.",,Vector,,,,Macau,,"Direccão dos Servicíos de Cartografia e Cadastro, Macau S.A.R.",Citation,None,,2011
470,Atlas Ukraine radioactive contamination,,,https://librarysearch.library.utoronto.ca/permalink/01UTORONTO_INST/mi8gb7/alma991105891898706196,,Unknown,,,,,,,,,,,,,,,,,,,,
471,Lloyd's maritime atlas of world ports and shipping places,"Thumbnail for Lloyd's maritime atlas of world ports and shipping places
Electronic version of 2005 edition of Lloyd's Maritime Atlas, containing maps and information about global shipping ports and routes.",,,Publicly accessible,"Department of Maritime Studies, University of Wales College of Cardiff",,2005,WORLD (INCLUSIVE),TRADE,,,,Lloyd's Marine Intelligence Unit,,Raster,,2005,,London,,Lloyd's Marine Intelligence Unit,Citation,None,,2005
472,Atlas climático Ibérico/Iberian climate atlas,,,https://librarysearch.library.utoronto.ca/permalink/01UTORONTO_INST/mi8gb7/alma991106082344806196,,Unknown,,,,,,,,,,,,,,,,,,,,
473,Seismic atlas of the Messinian salinity crisis markers in the Mediterranean and Black Seas,CD accompanying text.,CD accompanying text.,,Publicly accessible,Johanna Lofi et al.,,2011,BLACK SEA; MEDITERRANEAN REGION,GEOLOGY; SEISMICITY,,,,Commission for the Geological Map of the World,,Raster,,,,Paris,,Commission for the Geological Map of the World/Mémoires de la Société Géologique de France,Citation,None,,2011
474,Luftbildatlas Berliner Innenstadt,CD accompanying text.,CD accompanying text,,Publicly accessible,"Cornelia Dorries, Philipp Meuser",,2009,BERLIN,ATLAS; CITY PLAN,,,,DOM Publishers,,Raster,,,,Berlin,,DOM Publishers,Citation,None,,2009
475,"Historic Census Geographic Areas, Digital Boundaries Australia 1981-1996",,,,"Restricted to U of T faculty, staff, and students.",Australian Bureau of Statistics,,2001,AUSTRALIA,CENSUS,2001,,Australian Bureau of Statistics,Commonwealth of Australia,,Vector,GDA94,,,Australia,Geographic,Australian Bureau of Statistics,Citation,None,,1981 to 2001
476,Global Change Atlas: Upper Danube Catchment Area,,Atlas is in German,,,Unknown,,,,,,,,,,,,,,,,,,,,
477,Atlas Moskva : s kazhdym domom,,,https://librarysearch.library.utoronto.ca/permalink/01UTORONTO_INST/14bjeso/alma991106612138406196,,Unknown,,,,,,,,,,,,,,,,,,,,
478,"Historic Census Geographic Areas, Digital Boundaries Australia 1981-1996 - 2001",,,,"Restricted to U of T faculty, staff, and students.",Australian Bureau of Statistics,,2001,AUSTRALIA,CENSUS,,,,Commonwealth of Australia,,Vector,,,,Australia,,Australian Bureau of Statistics,Citation,None,,1981 to 2001
479,Atlas of statewise generalised isopluvial (return period) maps of Southern Peninsula,,,https://librarysearch.library.utoronto.ca/permalink/01UTORONTO_INST/14bjeso/alma991106298476206196,,India. Meteorological Department. Hydrometeorology Division. ,,,,,,,,,,,,,,,,,,,,
479,Atlas of statewise generalised isopluvial (return period) maps of Eastern India,,,https://librarysearch.library.utoronto.ca/permalink/01UTORONTO_INST/14bjeso/alma991106298476206196,,India. Meteorological Department. Hydrometeorology Division. ,,,,,,,,,,,,,,,,,,,,
479,Atlas of statewise generalised isopluvial (return period) maps of Central India,,,https://librarysearch.library.utoronto.ca/permalink/01UTORONTO_INST/14bjeso/alma991106298476206196,,India. Meteorological Department. Hydrometeorology Division. ,,,,,,,,,,,,,,,,,,,,
479,Atlas of statewise generalised isopluvial (return period) maps of Northern India,,,https://librarysearch.library.utoronto.ca/permalink/01UTORONTO_INST/14bjeso/alma991106298476206196,,India. Meteorological Department. Hydrometeorology Division. ,,,,,,,,,,,,,,,,,,,,
480,Atlas de Extremadura,,,https://librarysearch.library.utoronto.ca/nde/fulldisplay?query=Atlas%20de%20Extremadura&tab=Everything&search_scope=UTL_AND_CI&searchInFulltext=false&vid=01UTORONTO_INST:UTORONTO_NDE&lang=en&docid=alma991105987989506196&adaptor=Local%20Search%20Engine&context=L&isFrbr=false&isHighlightedRecord=false&state=,,"Boni Sánchez, Adrián Ssegura, Felipe Leco, José A. Mateos",,,,,,,,,,,,,,,,,,,,
481,Former City of Toronto Zoning By-laws Office Consolidations - 2012,,,,"Restricted to U of T faculty, staff, and students.",City of Toronto City Planning Department,,2007,TORONTO,STREETS; ZONING,,,,City of Toronto,,Vector,,"2007, 2012",,,,,Citation,None,,2007 to 2012
482,The British Library Map Catalogue on CD-ROM,,,https://librarysearch.library.utoronto.ca/permalink/01UTORONTO_INST/14bjeso/alma991106118840406196 ,,Map Library (British Library),,,,,,,,,,,,,,,,,,,,
